#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
90,"Pound Cake / Paris Morton Music 2","Drake,JAY-Z",67,164,"canadian hip hop, canadian pop, hip hop, pop rap, rap, east coast hip hop, gangster rap","Hip Hop, Pop","Nothing Was The Same (Deluxe)",2013-01-01,07:13,52,76,14,0,27,50,10,-7,D Major,4,2023-09-25,4RI9eX7jNcdaQOJifn7t6z,"Cash Money Records/Young Money Ent./Universal Rec.",10B,,https://i.scdn.co/image/ab67616d00004851adfb5909ec66db5fbb4d06c8
91,"Desires (with Future)","Drake,Future",67,145,"canadian hip hop, canadian pop, hip hop, pop rap, rap, atl hip hop, southern hip hop, trap","Hip Hop, Pop","Dark Lane Demo Tapes",2020-05-01,03:57,81,51,28,0,55,10,30,-8,F Minor,4,2023-09-25,7eYAHC0RbBF9eaqWzT34Aq,"OVO",4A,,https://i.scdn.co/image/ab67616d00004851bba7cfaf7c59ff0898acba1f
92,"WHO? WHAT!","Travis Scott",71,140,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,02:56,83,73,5,0,68,0,0,-6,A#/B♭ Minor,4,2023-09-25,4KYS9GK68yeuUJ8vJfPxrq,"Cactus Jack / Epic",3A,https://p.scdn.co/mp3-preview/2dbb11f0b30231653d4073c9a0009463ee17402c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
93,"We Paid (feat. 42 Dugg)","Lil Baby,42 Dugg",77,135,"atl hip hop, atl trap, rap, trap, detroit trap, southern hip hop","Hip Hop","My Turn (Deluxe)",2020-05-01,03:01,93,54,14,0,56,20,0,-5,C♯/D♭ Major,4,2023-09-25,6gxKUmycQX7uyMwJcweFjp,"Quality Control/Motown Records",3B,,https://i.scdn.co/image/ab67616d0000485176a4577dd654bf457a4ad1f8
94,"Death","Trippie Redd,DaBaby",33,164,"melodic rap, rap, trap, hip hop, north carolina hip hop, pop rap","Hip Hop","A Love Letter To You 4",2019-11-22,02:52,80,82,6,0,61,10,10,-6,A#/B♭ Minor,4,2023-09-25,3Kd6Wp3lG5HXMB2dlvuy7y,"TenThousand Projects, LLC",3A,,https://i.scdn.co/image/ab67616d00004851cd81b9f0393348b6537c9d92
95,"Rap Saved Me (feat. Quavo)","21 Savage,Offset,Metro Boomin,Quavo",69,143,"atl hip hop, hip hop, rap, pop rap, trap, melodic rap","Hip Hop","Without Warning",2017-10-30,04:17,85,40,1,74,15,30,10,-8,C♯/D♭ Major,4,2023-09-25,0tdCy39PgWN8LFWu34ORn3,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",3B,https://p.scdn.co/mp3-preview/650662d2649ecfa65d8ea2b4b15339b8ddced323?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510db43130a9aaa7bae56967ed
96,"Chateau","Jaden,A$AP Rocky",42,140,"pop rap, rap, east coast hip hop, hip hop, trap","Hip Hop","ERYS (Deluxe)",2019-07-05,02:15,76,81,25,0,23,20,30,-4,G#/A♭ Major,4,2023-09-25,2mbAFKj9gePjW91G1WH3sp,"MSFTSMusic / Roc Nation Records",4B,,https://i.scdn.co/image/ab67616d0000485160ec4df52c2d724bc53ffec5
97,"Only You Freestyle","Headie One,Drake",63,147,"uk hip hop, canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Only You Freestyle",2020-07-20,04:08,68,83,56,0,80,20,20,-3,F Major,4,2023-09-25,4OENnoidV0h8gJV6bhrw7r,"Relentless Records",7B,https://p.scdn.co/mp3-preview/1f477c1c2aca3352c63b0e90dcef078cdc0c144b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485195716719bcb760795a0c15bf
98,"First Off (feat. Travis Scott)","Future,Travis Scott",62,162,"atl hip hop, hip hop, rap, southern hip hop, trap, slap house","Hip Hop, Electronic","Future Hndrxx Presents: The WIZRD",2019-01-18,03:48,73,68,1,0,45,0,20,-6,C♯/D♭ Major,4,2023-09-25,3WRIaWsws011vHMd9uzPjG,"Epic/Freebandz",3B,https://p.scdn.co/mp3-preview/048ab386f8f26947966e321e38586010e5a54cc0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e111437ad4fd3f50c8461ec5
99,"LOSE IT (feat. Lil Baby)","Quavo,Lil Baby",54,125,"atl hip hop, melodic rap, rap, trap, atl trap","Hip Hop","QUAVO HUNCHO",2018-10-12,03:57,96,57,2,0,73,30,10,-6,G Major,4,2023-09-25,69PkhA9q3xCWU2CzoZnLAu,"Quality Control Music/Motown Records/Capitol Records",9B,,https://i.scdn.co/image/ab67616d00004851a1fc738279f01eb8086fc44d
100,"Go","Huncho Jack,Travis Scott,Quavo",54,135,"melodic rap, trap, hip hop, rap, slap house, atl hip hop","Hip Hop, Electronic","Huncho Jack, Jack Huncho",2017-12-21,02:36,76,90,32,0,58,0,30,-1,F Minor,4,2023-09-25,4RgoqOBE34Q6zZj8K7RUAx,"Quality Control Music - Epic",4A,,https://i.scdn.co/image/ab67616d00004851631973893e94d01cfcdf0e5e
101,"Cocoon","Migos",0,120,"atl hip hop, hip hop, pop rap, rap, trap","Hip Hop","Cocoon",2016-05-05,04:57,58,83,19,0,36,20,0,-4,G Major,4,2023-09-25,7uYbpT7Wfsu0w1eccEKDvM,"Quality Control Music",9B,,https://i.scdn.co/image/ab67616d00004851a96cf14c3eb63587872370d0
102,"Bosses Don't Speak","Quality Control,Migos",55,155,"melodic rap, trap, atl hip hop, hip hop, pop rap, rap","Hip Hop","Quality Control: Control The Streets Volume 1",2017-12-08,04:01,82,49,5,0,15,40,10,-8,D Major,4,2023-09-25,1C8yDcVIhBObN58cSS8oX9,"Quality Control Music, LLC",10B,,https://i.scdn.co/image/ab67616d00004851e540272ec3db0c1cdf517f5b
103,"Too Hotty","Quality Control,Migos,Eurielle",60,130,"melodic rap, trap, atl hip hop, hip hop, pop rap, rap, fantasy","Hip Hop, Folk/Acoustic","Quality Control: Control The Streets Volume 1",2017-12-08,04:55,89,40,19,0,16,20,10,-7,C♯/D♭ Major,4,2023-09-25,3hWUIMNBwLNug1O8o2PPRW,"Quality Control Music, LLC",3B,,https://i.scdn.co/image/ab67616d00004851e540272ec3db0c1cdf517f5b
104,"Blue Notes","Meek Mill",70,141,"hip hop, philly rap, pop rap, rap, southern hip hop, trap","Hip Hop","DC4",2016-10-28,03:47,52,43,67,0,18,20,10,-8,E Major,4,2023-09-25,7Gs3otHnZDq514kFHf0nx7,"MMG/Atlantic",12B,https://p.scdn.co/mp3-preview/09545a8b9e5b9c5090717b6a7f34d779dfa3b4a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510a6f4e78a01fd779ebaace83
